id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
655c478c-fc25-43da-a413-093ea4dfb2e1,Extractamundo Dos!,82f14095-945a-4b60-ae56-3bf3668900d6,Lagom_01 102 HU,Lagom,01 102 HU,1.4,,,,14.5,,39.9,,20.775,,,
d2b34e2f-3c5e-48d0-a6d9-3cf8f24fc944,D-Flow / default,160ec6bc-53c4-4bf9-acbf-351f355f03ef,DF64,DF64,,3.9,,Espresso,,19,,40,,31.357,,,
15dbf412-ac85-46bc-b46f-f2e15b6a5536,Gentle and sweet,20775f79-d347-44af-903c-590e968d75d1,,,,10,,,,18,,41.5,,47.566,,,
4c63785a-0ed4-4e7d-b617-0a9e18d47896,TurboBloom,a267de3b-c935-4964-a003-d66ec9828812,,,,0,,,,18,,43,,19.005,,,
4a2226b2-4654-4433-8515-6e02de0e1f75,Adaptive v2,29e4310e-0c72-4e68-b42d-f990c222c92b,,,,12.4,,,,18,,54.8,,29.046,,,
a560a9d4-a162-4e5b-965e-f0f484cf5568,Damian's LRv3,62a73803-cebf-441f-8456-3564929b4162,,,,0,,,,19.6,,37.6,,28.799,,,
38ed00cd-5e0a-4a01-88c0-03c684bf9c26,A-Flow / AJ49-Reg,ff28e7c9-bf87-45e6-a165-67e2b1a19d0e,NicheZero,NicheZero,,1,,,,16.5,,41.5,,44.811,,,
33a506a7-5029-4e2c-84d0-78de1ba008af,Visualizer/lever for Steve Langston,ae657cc2-3d01-4ee6-b2f5-7e5023f8a099,Max/brew,Max/brew,,3,,,,18,,31.6,,53.548,,,
46114d4b-9f92-4496-8d77-2d396435d14c,D-Flow / rob1,b3341121-fbb4-4df9-8ff5-704d2d5a822c,Mazzer_Philos,Mazzer,Philos,19,,,,18,,44.7,,48.733,,,
0f3f1880-a077-4134-82b5-d8b6b0d1efe9,Flair 58,442a36a2-5fb9-4262-90d6-ba3983ec348c,Zerno_Z1,Zerno,Z1,100,,UNKNOWN,,18,,36.8,,49.201,,,
7b6134a1-b75d-43d5-a571-a6509c30d682,Flair 58,442a36a2-5fb9-4262-90d6-ba3983ec348c,Zerno_Z1,Zerno,Z1,100,,UNKNOWN,,18,,35.7,,27.99,,,
d51fcba5-97a9-40b2-8a43-15f9ca3de3d7,Best practice (light roast),0ffc0e20-2d25-4509-b17c-2d6cbeebfb9f,,,,0.9,,,,18,,54.9,,35.727,,,
179100e1-d7f3-4b55-b841-21c73cbd381c,Gentle and sweet,3a10deeb-1b97-4dd8-b045-58cfbc8bee92,Lucca_75,Lucca,75,40,,Light-Medium,,19.6,,43.4,,19.394,,,
0228bbcb-e70f-43f0-8037-61394d759b53,Espresso/Baseline ULC,f00ffda6-90c0-48bc-b485-a4a1d0d32173,Lagom_P100 - HU,Lagom,P100 - HU,2.2,,Filter Light Roast,,18,,51.1,,15.482,,,
5d8de1de-8016-474a-970f-c4ef2a08e7d0,SOUP M,5e09e79a-c49a-4ab9-958c-338ee1ee2d73,Monolith_Flat MAX2 98mm,Monolith,Flat MAX2 98mm,4.2,,,,21.3,,70,,19.3,,,
022d41b5-a731-4917-bb32-68801b91347b,Extractamundo Dos!,f8eea7f6-b866-4869-872c-68a6eac735cb,,,,20,,,,15,,34.6,,28.517,,,
ccf46d41-3790-4307-8aee-c2ededf0b7f5,Gentle and sweet,abc2830e-ca6e-4ea8-8ddd-16b02ae6d8f0,P100,P100,,9,,,,18,,36.2,,23.774,,,
